Tag,Bedeutung
MFA,"Multi-Faktor-Authentifizierung, ein Sicherheitsverfahren, das mindestens zwei unterschiedliche Authentifizierungsfaktoren (Wissen, Besitz, Inhärenz) erfordert, um Identitäten zuverlässiger zu verifizieren."
Living off the land,"Angriffstechnik, bei der legitime, bereits im System vorhandene Tools und Prozesse für böswillige Zwecke genutzt werden, um Erkennung zu erschweren."
Credential Stuffing,"Cyberangriff, bei dem automatisiert gestohlene Benutzernamen und Passwörter auf verschiedenen Websites ausprobiert werden, um von Passwortwiederverwendung zu profitieren."
Pentest,"Penetrationstest, eine autorisierte Simulation eines Cyberangriffs auf ein Computersystem, um Sicherheitslücken zu identifizieren und zu beheben, bevor sie ausgenutzt werden können."
Automatic Session Locking,"Sicherheitsfunktion, die eine Benutzersitzung nach einer festgelegten Inaktivitätszeit automatisch sperrt, um unbefugten Zugriff zu verhindern."
Recon,"Abkürzung für Reconnaissance, die Phase eines Cyberangriffs, in der Informationen über potenzielle Ziele gesammelt werden, um Schwachstellen zu identifizieren."
Denial of Service,"Angriff, der darauf abzielt, ein System, einen Dienst oder eine Ressource für legitime Benutzer unzugänglich zu machen, indem Ressourcen erschöpft oder Kommunikationswege blockiert werden."
Auslandsreisen,"Aufenthalte außerhalb des Heimat- bzw. Wohnsitzlandes der beschäftigten Person, bei denen Informationen und Assets aus dem Informationsverbund verwendet werden. Dazu zählen sowohl vorübergehende Arbeitsaufenthalte an Standorten der eigenen Institution oder bei Geschäftspartnern als auch die Erbringung mobiler Arbeit von beliebigen Orten im Ausland. Wesentlich ist dabei, dass die Tätigkeit grenzüberschreitend ausgeübt wird und dadurch rechtliche, steuerliche sowie arbeits- und sozialversicherungsrechtliche Rahmenbedingungen anderer Staaten berührt werden könnten."
Produktbeschreibung,"Anforderungen mit diesem Tag sind sinnvolle Bestandteile einer dokumentierten Beschreibung eines IT-Produktes. Die vom Produkt implementierten Anforderungen können (durch Herstellers, Dienstleister oder Lieferanten) als OSCAL component-definition bereitgestellt werden um einen schnellen Abgleich zwischen Grundschutz++ und der Implementierung zu ermöglichen."
Advanced Persistent Threats (APT),"Komplexe, gezielte und langfristige Cyberangriffe, bei denen Angreifer unbemerkt in einer Umgebung verbleiben, um Informationen auszuspähen oder Systeme zu manipulieren."
Archivierung,"Geordnete und langfristige Aufbewahrung von Informationen oder Dokumenten, damit sie nachvollziehbar, verfügbar und bei Bedarf wiederauffindbar bleiben."
Authentication and Authorization,"Sicherheitsprozesse zur Prüfung von Identitäten und zur Festlegung, auf welche Systeme, Daten oder Funktionen ein Benutzer oder Dienst zugreifen darf."
Brute-Force-Attacke,"Angriff, bei dem Zugangsdaten oder kryptografische Schlüssel automatisiert durch massenhaftes Ausprobieren möglicher Werte ermittelt werden sollen."
Compliance-Management,"Organisatorische und prozessuale Maßnahmen zur Sicherstellung, Dokumentation und Überwachung der Einhaltung relevanter Anforderungen und Richtlinien."
Data Exfiltration,"Unbefugter Abfluss sensibler Daten aus einem System oder Netzwerk, etwa durch Angreifer, Schadsoftware oder missbräuchliche interne Zugriffe."
Exit-Strategie,"Geplanter Ansatz für den geordneten Ausstieg aus einem Dienstleister-, Produkt- oder Vertragsverhältnis, um Betrieb, Daten und Sicherheit kontrolliert zu überführen."
Führungsverantwortung,"Verantwortung von Leitungs- und Führungskräften, Sicherheitsziele festzulegen, Maßnahmen zu unterstützen und deren Umsetzung wirksam zu steuern."
Honeypot,"Absichtlich bereitgestelltes Scheinziel in einem IT-System, das Angreifer anlocken, deren Verhalten beobachten und echte Systeme entlasten oder schützen soll."
Inspektion,"Geplante Prüfung von Systemen, Prozessen oder Zuständen, um Konformität, Sicherheit, Qualität oder ordnungsgemäße Umsetzung festzustellen."
Kontakt mit Behörden,"Abstimmung und Kommunikation mit zuständigen Behörden, etwa bei Sicherheitsvorfällen, Meldepflichten, Prüfungen oder regulatorischen Anforderungen."
Langzeitarchivierung,"Dauerhafte, unveränderbare und nachvollziehbare Aufbewahrung von Informationen über lange Zeiträume unter Berücksichtigung von Verfügbarkeit und Lesbarkeit."
Password Policy,"Vorgaben für Erstellung, Nutzung, Änderung und Schutz von Passwörtern, um die Sicherheit von Benutzerkonten zu erhöhen."
Phishing,"Betrugsversuch, bei dem Angreifer durch täuschend echte Nachrichten oder Webseiten vertrauliche Informationen wie Passwörter oder Zahlungsdaten erlangen wollen."
Privilege Escalation,"Ausweitung von Berechtigungen durch einen Angreifer oder Benutzer, um höhere Rechte zu erlangen als ursprünglich vorgesehen."
Privilegierte Rechte,"Erweiterte Zugriffs- und Administrationsrechte, mit denen besonders weitreichende Änderungen an Systemen, Diensten oder Daten vorgenommen werden können."
Shared Responsibility Model,"Modell zur Aufteilung von Sicherheits- und Betriebsverantwortung zwischen mehreren Parteien, zum Beispiel zwischen Cloud-Anbieter und Kunde."
