Begriff,Definition,UUID
Dekommissionierung von Dienstleistern,"Dekommissionierung von Dienstleistern beschreibt Verfahren und Regelungen zur strukturierten Beendigung von Dienstleisterbeziehungen, einschließlich Widerruf von Zugängen, Datenübergabe oder -löschung und Nachweisführung. Es grenzt sich von Zusammenarbeit (laufender Betrieb) und Auswahl (Initialphase) ab. Beispiel: Checkliste zur Entflechtung, Schlüsselrückgabe, Accountsperrung und Bestätigungen.",79ec9403-2fb2-4bae-bb5c-eac9e5d8d607
Kommunikation,"Eine strukturierte Dokumentation und effektive Kommunikation sind wesentliche Elemente eines funktionierenden ISMS. Sie gewährleisten, dass alle relevanten Informationen verfügbar, aktuell und für die jeweiligen Zielgruppen zugänglich sind.",4958c54f-47a9-4f53-808d-77aca3ca70ef
Informationssicherheitsleitlinie,"Die Informationssicherheitsleitlinie ist ein zentrales Dokument für die Informationssicherheit einer Institution. In ihr wird beschrieben, für welche Zwecke, mit welchen Mitteln und mit welchen Strukturen Informationssicherheit innerhalb der Institution hergestellt werden soll. Sie beinhaltet die von der Institution angestrebten Informationssicherheitsziele sowie die verfolgte Sicherheitsstrategie. Diese Leitlinie beschreibt damit auch über die Sicherheitsziele das angestrebte Sicherheitsniveau in einer Institution.",330c95ba-022d-4de5-91f6-58557e18a660
Umsetzungsstatus,"Die Ermittlung bzw. Überprüfung des Umsetzungsstatus bildet den Ausgangspunkt der Umsetzung und dient der systematischen Erfassung des aktuellen Umsetzungsstands aller Anforderungen aus dem im Rahmen der Anforderungsanalyse erstellten Anforderungspakets. Dieser Schritt liefert ein klares Bild davon, welche Anforderungen bereits erfüllt sind und wo Handlungsbedarf besteht.",6f601170-b962-46c9-9924-8ab879831057
Anforderungspaket,"Ein Anforderungspaket ist eine Zusammenstellung von Anforderungen, die auf einen konkreten Informationsverbund oder ein Einsatzszenario modelliert werden können.",296d10e0-e54b-4c31-aadf-1307d5d9d3ba
Geltungsbereich,"Der Geltungsbereich beschreibt, wo und für wen das ISMS gilt. Er legt den formalen und organisatorischen Umfang (Scope) fest, in dem das ISMS angewendet wird. Damit definiert er die Grenzen der institutionellen Verantwortung für Informationssicherheit",68277eed-f2a3-413f-97c8-383561be418e
Institutionskontext,"Die systematische Analyse und Dokumentation des Kontextes umfasst alle internen und externen Faktoren, die einen Einfluss auf die Informationssicherheitsziele und -strategie der Institution haben.",a2157d39-b875-4bf8-9967-3c1df94006d2
Umsetzungsfortschrittsverfolgung,"Die systematische Nachverfolgung des Umsetzungsfortschritts der Maßnahmen ist entscheidend, um den Erfolg der Umsetzung zu gewährleisten und bei Bedarf korrigierend einzugreifen. Das Verfahren umfasst ebenfalls die Dokumentation des aktuellen Umsetzungsstands und etwaiger Abweichungen vom Plan.",7a14fdd1-99c6-4443-b48d-90e1bf4a73a9
Freigabe,"Freigabe bezeichnet den dokumentierten Entscheidungsakt im Change-Management, mit dem die Inbetriebnahme, Änderung oder Rücknahme eines Elements genehmigt wird. Sie grenzt sich von der Abnahme (Lieferprüfung vor Übergabe) ab und vom Freigabeverfahren, das die Verfahren und Regelungen zum Genehmigungsprozess im Managementsystem beschreibt. Beispiel: CAB-Entscheidung mit Begründung, Risikobewertung und Rückfallplan.",3c5acebf-32b1-42dc-a9ca-06c45aa320fb
Ausnahmemanagement,"Die Freigabeprozesse gewährleisten die formale Absicherung von Entscheidungen und den kontrollierten Umgang mit Abweichungen von den Anforderungen. Freigabeverfahren und Ausnahmemanagement umfassen Ausnahmegenehmigungen für Compliance-Verpflichtungen, die durch eine zuständige Person oder Rolle autorisiert werden müssen. Zusätzlich müssen Ausnahmegenehmigungen mit einer nachvollziehbaren Begründung dokumentiert werden.",86b2b22e-b2db-412b-947e-6c1a6132e656
Gemeinsame Arbeitsbereiche,"Gemeinsame Arbeitsbereiche beschreibt Verfahren und Regelungen zur sicheren kollaborativen Nutzung von Plattformen und geteilten Ressourcen bei klaren Verantwortlichkeiten, Datenklassifizierung und Zugriffskontrollen. Es grenzt sich von dedizierten Systemen ab, die isolierte Umgebungen für erhöhte Schutzbedarfe bereitstellen. Beispiel: geteilte Projektbereiche mit definierten Rollen, Freigaben und Löschkonzept.",568e9756-10ae-439c-9a20-61c443181f2c
Parametrisierung,"Bevor mit der Umsetzung des Anforderungspakets begonnen wird, gilt es zentrale Gestaltungsentscheidungen zu treffen. Parameter sind variabel gestaltbare Elemente innerhalb einer Anforderung, die Editoren, Auditoren und Anwendern Spielräume aufzeigen und zur automatisierten Prüfung genutzt werden können. Sie ermöglichen es, Anforderungen an spezifische Kontexte anzupassen. Sollte für eine Zielobjekt aus unterschiedlichen Vorgaben unterschiedliche Parametereinstellungen gefordert werden ist immer die sicherste Einstellung zu wählen.",dd48b96e-3f92-40fe-b776-39e97d17bb23
Grundlagen,"Grundlagen beschreibt Verfahren und Regelungen zum Thema ""Grundlagen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von nachgelagerten Aspekten wie Meldung von Ereignissen. Schwerpunkte sind u. a.: Verfahren und Regelungen; Regelmäßige Überprüfung.",94bfadab-43f6-48d7-ac5e-49b8fbcf2794
Grundlegende Sensibilisierung,"Grundlegende Sensibilisierung beschreibt Verfahren und Regelungen zum Thema ""Grundlegende Sensibilisierung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Schutz vor Schadprogrammen. Schwerpunkte sind u. a.: Schutzziele; Meldewege; Verschlüsselung und Signatur.",32b3abbe-7d9a-466f-afe5-4a42be1cc24a
Verbesserungspotenziale,"Die Identifikation von Verbesserungspotenzialen ist ein wesentlicher Treiber für die kontinuierliche Weiterentwicklung des ISMS. Im Gegensatz zum reaktiven Umgang mit Nicht-Konformitäten zielt dieser Ansatz darauf ab, auch ohne vorangegangene Probleme oder Abweichungen Optimierungsmöglichkeiten zu erkennen und zu nutzen.",84043e81-8d07-407d-85c0-1cc9ebabaa8d
Identitätsmanagement,"Identitätsmanagement beschreibt Verfahren und Regelungen zum Lebenszyklus von Identitäten in der Institution (Anlage, Änderung, Beendigung), einschließlich Attributpflege, Bindung an natürliche Personen und Nachweisführung. Es grenzt sich vom Berechtigungsmanagement ab, das die Zuteilung und Überprüfung von Zugriffsrechten behandelt. Beispiel: Joiner-/Mover-/Leaver-Prozesse mit eindeutiger Identitätsbindung.",9a76360d-4c4c-4dd5-b783-ca4dc610de34
Compliance-Management,"Compliance-Management ist die systematische Erfassung und Verwaltung von Compliance-Verpflichtungen für Informationssicherheit und stellt sicher, dass gesetzliche und vertragliche Vorgaben bekannt sind und bei der Sicherheitskonzeption berücksichtigt werden. Dies minimiert Compliance-Risiken und schafft gleichzeitig Transparenz über die externen und internen Anforderungen, die das ISMS erfüllen muss. Compliance Management betrifft ebenfalls Verfahren in der Umsetzung und zur Prüfung von Compliance-Aktivitäten sowie Ansätze zur Behandlung von Compliance-Verstößen.",2889d7fd-4859-4352-9037-3d6a9ace7aa4
Inventarisierung,"Inventarisierung beschreibt Verfahren und Regelungen zum Thema ""Inventarisierung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Regelungen zum Gebrauch. Schwerpunkte sind u. a.: Inventar der Informationen; Inventar der Systeme; Inventar der Anwendungen.",3fb5e678-1707-4204-ae7a-9f4d326dd9c2
Kapazitätsmanagement,"Kapazitätsmanagement beschreibt Verfahren und Regelungen zum Thema ""Kapazitätsmanagement"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Ausfallsicherheit. Schwerpunkte sind u. a.: Dimensionierung der Netzanbindung; Lastverteilung; Automatische Skalierung.",60e6c533-2880-4ce2-99b0-a544a6110f14
Kompensierende Kontrollmechanismen,"Kompensierende Kontrollmechanismen beschreibt Verfahren und Regelungen zum Thema ""Kompensierende Kontrollmechanismen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Abnahme. Schwerpunkte sind u. a.: Bereithaltung alternativer Lieferanten; Verfahren zur Übertragung von Geschäftsprozessen; Ressourcensouveränität.",125a0b4e-e1a3-45af-82e1-aeea71d5000d
Konfiguration von Anwendungen,"Konfiguration von Anwendungen beschreibt Verfahren und Regelungen zum Thema ""Konfiguration von Anwendungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Verfügbarkeit von Ressourcen und nachgelagerten Aspekten wie Vertrauensbeziehungen. Schwerpunkte sind u. a.: Grundkonfiguration für Anwendungen; Kryptographische Verfahren und Protokolle in Anwendungen; Änderung von Default-Zugangsdaten.",77993322-eb6f-4099-a1aa-f3c03a3ac7a1
Konfiguration von Systemen,"Konfiguration von Systemen beschreibt Verfahren und Regelungen zum Thema ""Konfiguration von Systemen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Physischer Schutz. Schwerpunkte sind u. a.: Grundkonfiguration für Systeme; Kryptographische Verfahren und Protokolle; Änderung von Default-Zugangsdaten.",c5a737da-f4f1-4e79-bd36-4600f2d4e6bb
Kontinuierliche Verbesserung,"Die kontinuierliche Verbesserung schließt den PDCA-Zyklus der Methodik-GS++ ab und stellt sicher, dass die Informationssicherheit stetig weiterentwickelt wird. In diesem Prozessschritt werden Erkenntnisse aus der Überwachung in konkrete Verbesserungsmaßnahmen umgesetzt.",26493190-fca2-4256-af0f-65adcbba8dad
Kontrolle von Dienstleistern,"Kontrolle von Dienstleistern beschreibt Verfahren und Regelungen zum Thema ""Kontrolle von Dienstleistern"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Nutzung von digitalen Dienstleistungen und nachgelagerten Aspekten wie Dekommissionierung von Dienstleistern. Schwerpunkte sind u. a.: Einhaltung der Sicherheitsvorgaben; Checkup; Strategie-Check.",a804efd3-0198-445a-b065-005a59096b67
Kontrollierte Datenverarbeitung,"Kontrollierte Datenverarbeitung beschreibt Verfahren und Regelungen zum Thema ""Kontrollierte Datenverarbeitung"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Vertrauensbeziehungen und nachgelagerten Aspekten wie Senden und Empfangen von Nachrichten. Schwerpunkte sind u. a.: Eingabevalidierung; Zertifikatsprüfung; Content Security Policy (CSP).",0588c1f1-d57a-4356-a14d-36bdf2f90b53
Korrektur- und Verbesserungsplan,Dieser Schritt beschreibt die Integration der Korrektur- und Verbesserungsplanung in den Umsetzungsplan.,b2718f17-64bf-4656-9a8b-d88748863ac4
Korrektur- und Verbesserungsvorschläge,Korrekturvorschlägen dienen der Beseitigung von Fehlerursachen im bestehenden ISMS. Verbesserungsvorschläge dienen der  proaktive Weiterentwicklung des ISMS. Die Vorschläge bilden den aktiven Teil des kontinuierlichen Verbesserungsprozesses und überführen die gewonnenen Erkenntnisse in konkrete Handlungen in den anstehenden Durchführungszyklen (PDCA-Zyklus).,e3d7bc94-002e-410f-99e8-ee0c396dadba
Leistungsbewertung des ISMS,Für eine effektive Leistungsbewertung müssen Verfahren und Regelungen zur Messung und Bewertung der ISMS-Leistung verankert werden.,68fb2d83-b361-4806-88dc-67455b24f87d
Löschen und Vernichten,"Löschen und Vernichten beschreibt Verfahren und Regelungen zum Thema ""Löschen und Vernichten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Rücknahme von Assets. Schwerpunkte sind u. a.: Nicht mehr benötigte Anwendungen; Aufbewahrungs- und Löschfristen; Geregeltes Löschen oder Vernichten.",18ef7966-f4d3-4400-85e4-7252fd57226b
Management von Schwachstellen,"Management von Schwachstellen beschreibt Verfahren und Regelungen zum Thema ""Management von Schwachstellen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Überwachung von Aktivitäten und nachgelagerten Aspekten wie Vorfallserkennung. Schwerpunkte sind u. a.: Zeitnahes Schwachstellenmanagement; Schwachstellenregister; Schwachstellenscans.",053a7519-64e7-4569-96e1-05dd10d73588
Managementbewertungen,"Managementbewertungen beschreibt Verfahren und Regelungen zum Thema ""Managementbewertungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Audits und nachgelagerten Aspekten wie Monitoring. Schwerpunkte sind u. a.: Eignungsprüfung; Ergebnisse von Folgemaßnahmen; Geänderte Rahmenbedingungen.",b285951e-ef2e-4a4c-987b-a68d08c5ca46
Meldung von Ereignissen,"Meldung von Ereignissen beschreibt Verfahren und Regelungen zum Thema ""Meldung von Ereignissen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Protokollierung. Schwerpunkte sind u. a.: Meldeverfahren; Security Operations Center; Ständiger Bereitschaftsdienst.",81dbe58a-e702-4407-970c-7a07d9e48b0a
Mobiles Arbeiten,"Mobiles Arbeiten beschreibt Verfahren und Regelungen zum Thema ""Mobiles Arbeiten"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Physische Sicherheit und nachgelagerten Aspekten wie Administration. Schwerpunkte sind u. a.: Verarbeitung in der Öffentlichkeit; Vorsicht vor Mithören; Verwahrung außer Haus.",dc3166e4-7040-482b-b92c-1ef592d03639
Monitoring,"Monitoring beschreibt die permanente Überwachung von Bedrohungslage, Sicherheitsvorfällen, Schwachstellenberichten und Veränderungen im Compliance-Umfeld im Zusammenspiel mit den umgesetzten Sicherheitsmaßnahmen. Hierfür ist der Einsatz von automatisierten Monitoringtools vorgesehen.",5d92a4e2-7171-41cf-b39b-5b272e9e7f24
Nachbereitung,"Beschreibt Verfahren und Regelungen zur Nachbereitung von Vorfällen im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Reaktion.",ed0e3ca4-d7d3-4deb-adb0-923d14ab2eb0
Netzdesign,"Netzdesign beschreibt Verfahren und Regelungen zum Thema ""Netzdesign"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Wireless LAN. Schwerpunkte sind u. a.: Netzsegmente; Einschränkung von Verbindungen zwischen Segmenten; Netzplan.",db326398-c2cb-479f-99c4-860cac44855b
Notfallvorsorge,"Notfallvorsorge beschreibt Verfahren und Regelungen zum Thema ""Notfallvorsorge"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Besondere Aufbauorganisation und nachgelagerten Aspekten wie Datensicherung. Schwerpunkte sind u. a.: Wiederanlaufplan; Geschäftsfortführungsplan; Sensibilisierung zum Vorgehen im Notfall.",08f29ac1-3394-435b-8e19-2af18b6cbdfa
Nutzung von digitalen Dienstleistungen,"Nutzung von digitalen Dienstleistungen beschreibt Verfahren und Regelungen zum Thema ""Nutzung von digitalen Dienstleistungen"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Grundlagen und nachgelagerten Aspekten wie Kontrolle von Dienstleistern. Schwerpunkte sind u. a.: Mehr-Faktor-Authentifizierung; Transportverschlüsselung; Vollverschlüsselung.",2d92d691-07fe-4bc6-8c39-5bdaabb3e027
Passwortgebrauch,"Passwortgebrauch beschreibt Verfahren und Regelungen zum Thema ""Passwortgebrauch"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Berechtigungsmanagement und nachgelagerten Aspekten wie Authentifizierung. Schwerpunkte sind u. a.: Vorkonfigurierte Authentisierungsmittel; Deaktivierung einfacher Biometrie; Mehr-Faktor-Authentisierung am Perimeter.",b2a0a857-7c7a-4a32-8abb-bf238de1f19c
Perimeterschutz,"Perimeterschutz beschreibt Verfahren und Regelungen zum Thema ""Perimeterschutz"" im Rahmen der jeweiligen Praktik, um die Informationssicherheit der Institution nachvollziehbar und wirksam zu gestalten. Es grenzt sich ab von vorgelagerten Aspekten wie Zugangsbeschränkungen und nachgelagerten Aspekten wie Vertraulichkeit und Integrität im Weitverkehrsnetz. Schwerpunkte sind u. a.: Einschränkung und Inspektion von Verbindungen; Produktdiversität; Blockieren direkter öffentlicher Verbindungen.",8180b8ce-d57d-4a68-be79-76c647fc96f9
